APR07 09:00,APR07 11:00,ZBT Breakfast of Champions
APR07 09:00,APR07 16:00,Thursday UROP Tours Sign-Up
APR07 09:00,APR07 17:00,Classes
APR07 09:00,APR07 17:00,Student Financial Services Open House
APR07 09:00,APR09 23:59,CPW Check-In and Help Desk
APR07 10:00,APR07 16:00,Chocolate City Jukebox
APR07 10:00,APR10 14:00,Come Hang Out with SIPBmems
APR07 10:30,APR07 12:00,Freshman Learning Community Tours
APR07 11:00,APR07 12:30,Baker Horizon Waffles
APR07 11:00,APR07 13:00,Dodge Duck Dip Dive Dodge
APR07 11:30,APR07 13:00,Introduction to Interphase EDGE
APR07 11:30,APR07 13:00,Outdoor Fun with Course 1!
APR07 11:30,APR07 14:00,Lunch with Kappa Sigma
APR07 12:00,APR07 14:00,Kill It and Grill It
APR07 12:00,APR07 17:00,Teach Do Create
APR07 12:00,APR07 20:30,Chill and Grill in the EC Courtyard
APR07 13:00,APR07 14:00,Affording Your MIT Education
APR07 13:00,APR07 14:00,Ping Pong Round Table
APR07 13:00,APR07 15:00,Picnic
APR07 13:00,APR07 17:00,Snacks + Board Games on Campus with ET
APR07 13:30,APR07 14:30,Course 20 Open House
APR07 13:30,APR07 15:00,CPWelcome BBQ with PhiDelts
APR07 14:00,APR07 15:00,Ask Us Anything and Demos
APR07 14:00,APR07 15:00,Dodgeball with Phi Beta Epsilon
APR07 14:00,APR07 15:00,Go Global Panel
APR07 14:00,APR07 15:00,MIT Libraries Tour
APR07 14:00,APR07 15:00,Varsity Crew Open House
APR07 14:00,APR07 15:30,Chemical Engineering Open House
APR07 14:00,APR07 15:30,Freshman Learning Community Tours
APR07 14:00,APR07 16:00,Fire and Ice Part I
APR07 14:00,APR07 16:00,Inventor and Maker Meet-n-Make
APR07 14:30,APR07 16:30,AFROTC Meet and Greet
APR07 15:00,APR07 16:00,The Urban Campus: Safety and Security
APR07 15:00,APR07 16:30,Quidditch Practice
APR07 15:00,APR07 17:00,Capture the Flag
APR07 15:00,APR07 17:00,Ultimate Frisbee with Theta Xi
APR07 15:00,APR07 18:00,BBQ (Day 1) & Slip n Slide
APR07 15:17,APR07 16:17,Ice Cream and UROPs
APR07 15:30,APR07 17:00,Opportunities for Aerospace Engineers
APR07 15:30,APR07 17:00,Wanna Flip Some Disc?
APR07 16:00,APR07 16:30,ESG Information Sessions
APR07 16:00,APR07 17:00,Marvelous Molecules at Play
APR07 16:00,APR07 17:30,Queer Tea Time
APR07 16:00,APR07 18:00,Mix and Mingle with Latinos @ MIT
APR07 16:00,APR07 18:00,Next Big Thing Debut
APR07 16:00,APR07 18:00,On the Oregon Trail
APR07 16:00,APR07 19:00,Friday UROP Tours Sign-Up
APR07 16:15,APR07 17:15,Talks of All Sorts!
APR07 16:17,APR07 19:17,Computer Science and Juice
APR07 16:20,APR07 17:20,Life-Sized Hungry Hungry Hippos
APR07 16:22,APR07 18:22,One Hour Videogame
APR07 16:30,APR07 17:00,ESG Information Sessions
APR07 16:30,APR07 17:30,Where Will I Live?
APR07 16:30,APR07 18:00,Froyo with MedLinks
APR07 16:45,APR07 19:00,Pasta with ALL the Sauces and Falling
APR07 17:00,APR07 18:30,Feast Like a Beast
APR07 17:00,APR07 18:30,Tie Dye T Shirts!
APR07 17:00,APR07 19:00,Blanket Fort Engineering
APR07 17:00,APR07 19:00,Lazer Tag with Maseeh Hall
APR07 17:00,APR07 19:00,Making Lightsabers
APR07 17:00,APR07 20:00,MIT and Chill
APR07 17:00,APR07 20:00,TDCooking
APR07 17:15,APR07 18:15,Start Your Start-Up!
APR07 17:17,APR07 18:17,Truffles and Tribbleations
APR07 17:30,APR07 18:30,Speed Friending
APR07 17:30,APR07 19:15,Multicultural Family Reception
APR07 17:30,APR07 19:30,Chill and Grill
APR07 18:00,APR07 19:00,Dinner with The Tech
APR07 18:00,APR07 19:00,Next House and Chill
APR07 18:00,APR07 19:00,Rub Our Kitties
APR07 18:00,APR07 20:00,Dinner and Sundaes
APR07 18:00,APR07 20:00,Dinner: Taste of Italy
APR07 18:00,APR07 20:00,Mujeres Latinas GBM
APR07 18:00,APR07 20:00,South of the Border Burritos
APR07 18:00,APR07 20:30,Card Night and Chinese Food
APR07 18:00,APR07 20:30,GIANT STUFF with MINI FOOD
APR07 18:00,APR07 20:30,Lying to Your Friends
APR07 18:00,APR08 19:30,Iron Chef at Zeta Psi
APR07 18:15,APR07 19:00,SIPB Pre-Machine Room Tour
APR07 18:17,APR07 19:17,PowerPoint Karaoke
APR07 18:30,APR07 19:30,Thai Dining
APR07 18:30,APR07 20:30,CPW Public Service Expo
APR07 18:30,APR07 20:30,Delts BBQ
APR07 18:30,APR07 20:30,Pre-Welcome LN2 Ice Cream Party!
APR07 18:30,APR07 20:30,Taste of Cambridge
APR07 18:30,APR07 20:30,Why Can Rhydon Learn Surf?
APR07 18:36,APR07 20:36,Dinner at Number Six
APR07 19:00,APR07 20:00,Biology Open House
APR07 19:00,APR07 20:00,Hardware 101 with MakeMIT
